source,target,type
8861821320530256,3313736441527210,undirected
8907986852429278,3625090170533723,undirected
8401962186278677,5366644715743524,undirected
8401962186278677,9778490919604593,undirected
5366644715743524,9778490919604593,undirected
7764017175870802,6926348689036257,undirected
5151065642581544,8667477201125880,undirected
5362513180111586,3509382891487960,undirected
4584311773583085,4188880970427220,undirected
5151065642581544,8667477201125880,undirected
1159840059123495,6230053113645423,undirected
1159840059123495,8051369420213095,undirected
1159840059123495,3428878189943493,undirected
1159840059123495,4118944177830502,undirected
1159840059123495,8051369420213095,undirected
1159840059123495,9409674734309199,undirected
1159840059123495,8933361259561564,undirected
1159840059123495,0784557600481845,undirected
1159840059123495,9409674734309199,undirected
1159840059123495,2279996083883727,undirected
1159840059123495,8933361259561564,undirected
1159840059123495,0255573178613450,undirected
1159840059123495,4080439371637715,undirected
6230053113645423,8051369420213095,undirected
6230053113645423,3428878189943493,undirected
6230053113645423,4118944177830502,undirected
6230053113645423,8051369420213095,undirected
6230053113645423,9409674734309199,undirected
6230053113645423,8933361259561564,undirected
6230053113645423,0784557600481845,undirected
6230053113645423,9409674734309199,undirected
6230053113645423,2279996083883727,undirected
6230053113645423,8933361259561564,undirected
6230053113645423,0255573178613450,undirected
6230053113645423,4080439371637715,undirected
8051369420213095,3428878189943493,undirected
8051369420213095,4118944177830502,undirected
8051369420213095,9409674734309199,undirected
8051369420213095,8933361259561564,undirected
8051369420213095,0784557600481845,undirected
8051369420213095,9409674734309199,undirected
8051369420213095,2279996083883727,undirected
8051369420213095,8933361259561564,undirected
8051369420213095,0255573178613450,undirected
8051369420213095,4080439371637715,undirected
3428878189943493,4118944177830502,undirected
3428878189943493,8051369420213095,undirected
3428878189943493,9409674734309199,undirected
3428878189943493,8933361259561564,undirected
3428878189943493,0784557600481845,undirected
3428878189943493,9409674734309199,undirected
3428878189943493,2279996083883727,undirected
3428878189943493,8933361259561564,undirected
3428878189943493,0255573178613450,undirected
3428878189943493,4080439371637715,undirected
4118944177830502,8051369420213095,undirected
4118944177830502,9409674734309199,undirected
4118944177830502,8933361259561564,undirected
4118944177830502,0784557600481845,undirected
4118944177830502,9409674734309199,undirected
4118944177830502,2279996083883727,undirected
4118944177830502,8933361259561564,undirected
4118944177830502,0255573178613450,undirected
4118944177830502,4080439371637715,undirected
8051369420213095,9409674734309199,undirected
8051369420213095,8933361259561564,undirected
8051369420213095,0784557600481845,undirected
8051369420213095,9409674734309199,undirected
8051369420213095,2279996083883727,undirected
8051369420213095,8933361259561564,undirected
8051369420213095,0255573178613450,undirected
8051369420213095,4080439371637715,undirected
9409674734309199,8933361259561564,undirected
9409674734309199,0784557600481845,undirected
9409674734309199,2279996083883727,undirected
9409674734309199,8933361259561564,undirected
9409674734309199,0255573178613450,undirected
9409674734309199,4080439371637715,undirected
8933361259561564,0784557600481845,undirected
8933361259561564,9409674734309199,undirected
8933361259561564,2279996083883727,undirected
8933361259561564,0255573178613450,undirected
8933361259561564,4080439371637715,undirected
0784557600481845,9409674734309199,undirected
0784557600481845,2279996083883727,undirected
0784557600481845,8933361259561564,undirected
0784557600481845,0255573178613450,undirected
0784557600481845,4080439371637715,undirected
9409674734309199,2279996083883727,undirected
9409674734309199,8933361259561564,undirected
9409674734309199,0255573178613450,undirected
9409674734309199,4080439371637715,undirected
2279996083883727,8933361259561564,undirected
2279996083883727,0255573178613450,undirected
2279996083883727,4080439371637715,undirected
8933361259561564,0255573178613450,undirected
8933361259561564,4080439371637715,undirected
0255573178613450,4080439371637715,undirected
3428878189943493,7540304062046337,undirected
9037816308995897,2428283842807938,undirected
5366644715743524,9778490919604593,undirected
3021268770189132,6434939710218427,undirected
3021268770189132,6434939710218427,undirected
5523350812734008,5944925833383680,undirected
5523350812734008,8425388270697221,undirected
5523350812734008,5944925833383680,undirected
5944925833383680,8425388270697221,undirected
5944925833383680,5523350812734008,undirected
8425388270697221,5523350812734008,undirected
8425388270697221,5944925833383680,undirected
5523350812734008,5944925833383680,undirected
1172479976966505,6384572541937974,undirected
6333149519672791,4080439371637715,undirected
5523350812734008,6603480808884218,undirected
5523350812734008,6603480808884218,undirected
8439623112559941,4971893171417909,undirected
5523350812734008,6603480808884218,undirected
8861821320530256,3313736441527210,undirected
4118944177830502,8861821320530256,undirected
4791953150250289,6195088696542157,undirected
6032064267919889,1536690328780417,undirected
5523350812734008,6603480808884218,undirected
0784557600481845,6377928312046077,undirected
6377928312046077,0784557600481845,undirected
5362513180111586,3509382891487960,undirected
3370272052850194,6331316797695305,undirected
9091082575480314,1800142109998891,undirected
8401962186278677,9778490919604593,undirected
5366644715743524,8401962186278677,undirected
5366644715743524,9778490919604593,undirected
8401962186278677,9778490919604593,undirected
5471746328944280,6931615599694788,undirected
3370272052850194,6331316797695305,undirected
9037816308995897,2428283842807938,undirected
8401962186278677,9778490919604593,undirected
5151065642581544,8667477201125880,undirected
6473075683971385,6333149519672791,undirected
5621310244457556,1172479976966505,undirected
5621310244457556,1172479976966505,undirected
1172479976966505,5621310244457556,undirected
5621310244457556,1172479976966505,undirected
9196373186050152,5103554000522280,undirected
8861821320530256,3313736441527210,undirected
8980645523068866,0886300382020774,undirected
3032618801971599,9242287015171384,undirected
